Time,Address,Top10
🌱 New Pool,Filter,1
0s,6Cn3J,99%
37s,34n41,0%
51s,AfsQX,74%
2m,5HMVB,13%
2m,9fAvA,10%
3m,BeSZz,27%
3m,GDF3A,14%
2m,5HMVB,13%
2m,9fAvA,10%
3m,GDF3A,14%
4m,BVbuM,14%
5m,8a4xM,15%
5m,5DzJA,12%
7m,9evjq,11%
3m,BeSZz,27%
5m,8a4xM,15%
5m,5DzJA,12%
8m,Bypzo,8%
12m,A5pC5,61%
13m,GYZqq,58%
14m,BAvdL,57%
🌱 New Pool,Filter,1
0s,6Cn3J,99%
42s,34n41,0%
56s,AfsQX,74%
2m,5HMVB,13%
2m,9fAvA,10%
3m,BeSZz,27%
3m,GDF3A,14%
2m,5HMVB,13%
2m,9fAvA,10%
3m,GDF3A,14%
4m,BVbuM,14%
5m,8a4xM,15%
5m,5DzJA,12%
7m,9evjq,11%
3m,BeSZz,27%
5m,8a4xM,15%
5m,5DzJA,12%
8m,Bypzo,8%
12m,A5pC5,61%
13m,GYZqq,58%
14m,BAvdL,57%
